Navn;Stasjon;Tid(norsk normaltid);Nedbør (døgn);Snødybde
Ytre Holmebukt;SN91080;02.03.2005;0,1;49
Ytre Holmebukt;SN91080;03.03.2005;11,1;59
Ytre Holmebukt;SN91080;04.03.2005;3,6;60
Ytre Holmebukt;SN91080;05.03.2005;0,1;59
Ytre Holmebukt;SN91080;06.03.2005;0,7;58
Ytre Holmebukt;SN91080;07.03.2005;5,5;63
Ytre Holmebukt;SN91080;08.03.2005;10,5;71
Ytre Holmebukt;SN91080;09.03.2005;0,9;68
Ytre Holmebukt;SN91080;10.03.2005;0,9;68
Ytre Holmebukt;SN91080;11.03.2005;0;65
Ytre Holmebukt;SN91080;12.03.2005;0;64
Ytre Holmebukt;SN91080;13.03.2005;0;63
Ytre Holmebukt;SN91080;14.03.2005;1,1;64
Ytre Holmebukt;SN91080;15.03.2005;0;63
Ytre Holmebukt;SN91080;16.03.2005;0;62
Ytre Holmebukt;SN91080;17.03.2005;0;62
Ytre Holmebukt;SN91080;18.03.2005;0;61
Ytre Holmebukt;SN91080;19.03.2005;0,4;62
Ytre Holmebukt;SN91080;20.03.2005;0,2;62
Ytre Holmebukt;SN91080;21.03.2005;0,5;68
Ytre Holmebukt;SN91080;22.03.2005;0;67
Ytre Holmebukt;SN91080;23.03.2005;0;66
Ytre Holmebukt;SN91080;24.03.2005;5,9;51
Ytre Holmebukt;SN91080;25.03.2005;2,7;46
Ytre Holmebukt;SN91080;26.03.2005;0;44
Ytre Holmebukt;SN91080;27.03.2005;0;44
Ytre Holmebukt;SN91080;28.03.2005;1,5;43
Ytre Holmebukt;SN91080;29.03.2005;0,1;41
Ytre Holmebukt;SN91080;30.03.2005;0,1;39
Ytre Holmebukt;SN91080;31.03.2005;0,1;37
Ytre Holmebukt;SN91080;01.04.2005;4,1;29
Ytre Holmebukt;SN91080;02.04.2005;5,4;24
Ytre Holmebukt;SN91080;03.04.2005;15,5;21
Ytre Holmebukt;SN91080;04.04.2005;3,5;19
Ytre Holmebukt;SN91080;05.04.2005;0;14
Ytre Holmebukt;SN91080;06.04.2005;0,1;12
Ytre Holmebukt;SN91080;07.04.2005;0;12
Ytre Holmebukt;SN91080;08.04.2005;0;10
Ytre Holmebukt;SN91080;09.04.2005;1;9
Ytre Holmebukt;SN91080;10.04.2005;0;9
Ytre Holmebukt;SN91080;11.04.2005;0;8
Ytre Holmebukt;SN91080;12.04.2005;1,6;5
Ytre Holmebukt;SN91080;13.04.2005;0;5
Ytre Holmebukt;SN91080;14.04.2005;0;4
Ytre Holmebukt;SN91080;15.04.2005;0;2
Ytre Holmebukt;SN91080;16.04.2005;0,8;-
Ytre Holmebukt;SN91080;17.04.2005;0,1;-
Ytre Holmebukt;SN91080;18.04.2005;0,1;-
Ytre Holmebukt;SN91080;19.04.2005;0;-
Ytre Holmebukt;SN91080;20.04.2005;0,1;-
Ytre Holmebukt;SN91080;21.04.2005;1,2;-
Ytre Holmebukt;SN91080;22.04.2005;0;-
Ytre Holmebukt;SN91080;23.04.2005;0;-
Ytre Holmebukt;SN91080;24.04.2005;0,1;-
Ytre Holmebukt;SN91080;25.04.2005;0,1;-
Ytre Holmebukt;SN91080;26.04.2005;0;-
Ytre Holmebukt;SN91080;27.04.2005;0;-
Ytre Holmebukt;SN91080;28.04.2005;0,7;-
Ytre Holmebukt;SN91080;29.04.2005;0;-
Ytre Holmebukt;SN91080;30.04.2005;0;-
Ytre Holmebukt;SN91080;01.05.2005;0;-
Ytre Holmebukt;SN91080;02.05.2005;0;-
Ytre Holmebukt;SN91080;03.05.2005;0;-
Ytre Holmebukt;SN91080;04.05.2005;0;-
Ytre Holmebukt;SN91080;05.05.2005;1,4;-
Ytre Holmebukt;SN91080;06.05.2005;0;-
Ytre Holmebukt;SN91080;07.05.2005;0;-
Ytre Holmebukt;SN91080;08.05.2005;0;-
Ytre Holmebukt;SN91080;09.05.2005;0;-
Ytre Holmebukt;SN91080;10.05.2005;0;-
Ytre Holmebukt;SN91080;11.05.2005;1,2;-
Ytre Holmebukt;SN91080;12.05.2005;0,1;-
Ytre Holmebukt;SN91080;13.05.2005;0;-
Ytre Holmebukt;SN91080;14.05.2005;1,5;-
Ytre Holmebukt;SN91080;15.05.2005;7,9;2
Ytre Holmebukt;SN91080;16.05.2005;4,8;-
Ytre Holmebukt;SN91080;17.05.2005;0;-
Ytre Holmebukt;SN91080;18.05.2005;4,1;-
Ytre Holmebukt;SN91080;19.05.2005;6,4;-
Ytre Holmebukt;SN91080;20.05.2005;3,7;-
Ytre Holmebukt;SN91080;21.05.2005;2,5;-
Ytre Holmebukt;SN91080;22.05.2005;1,8;-
Ytre Holmebukt;SN91080;23.05.2005;2,2;-
Ytre Holmebukt;SN91080;24.05.2005;1,6;-
Ytre Holmebukt;SN91080;25.05.2005;5;-
Ytre Holmebukt;SN91080;26.05.2005;0,1;-
Ytre Holmebukt;SN91080;27.05.2005;3,4;-
Ytre Holmebukt;SN91080;28.05.2005;2,3;-
Ytre Holmebukt;SN91080;29.05.2005;11,1;-
Ytre Holmebukt;SN91080;30.05.2005;0,9;-
Ytre Holmebukt;SN91080;31.05.2005;0,4;-
Ytre Holmebukt;SN91080;01.06.2005;0,1;-
Ytre Holmebukt;SN91080;02.06.2005;0,7;-
Ytre Holmebukt;SN91080;03.06.2005;0;-
Ytre Holmebukt;SN91080;04.06.2005;0;-
Ytre Holmebukt;SN91080;05.06.2005;0;-
Ytre Holmebukt;SN91080;06.06.2005;9,1;-
Ytre Holmebukt;SN91080;07.06.2005;1,3;-
Ytre Holmebukt;SN91080;08.06.2005;0,3;-
Ytre Holmebukt;SN91080;09.06.2005;6,6;-
Ytre Holmebukt;SN91080;10.06.2005;0,5;-
Ytre Holmebukt;SN91080;11.06.2005;1,4;-
Ytre Holmebukt;SN91080;12.06.2005;0;-
Ytre Holmebukt;SN91080;13.06.2005;0;-
Ytre Holmebukt;SN91080;14.06.2005;0;-
Ytre Holmebukt;SN91080;15.06.2005;0;-
Ytre Holmebukt;SN91080;16.06.2005;0;-
Ytre Holmebukt;SN91080;17.06.2005;0;-
Ytre Holmebukt;SN91080;18.06.2005;0;-
Ytre Holmebukt;SN91080;19.06.2005;0,1;-
Ytre Holmebukt;SN91080;20.06.2005;0;-
Ytre Holmebukt;SN91080;21.06.2005;0,3;-
Ytre Holmebukt;SN91080;22.06.2005;0,1;-
Ytre Holmebukt;SN91080;23.06.2005;17,9;-
Ytre Holmebukt;SN91080;24.06.2005;0,5;-
Ytre Holmebukt;SN91080;25.06.2005;4,2;-
Ytre Holmebukt;SN91080;26.06.2005;2,4;-
Ytre Holmebukt;SN91080;27.06.2005;1,1;-
Ytre Holmebukt;SN91080;28.06.2005;1,2;-
Ytre Holmebukt;SN91080;29.06.2005;0;-
Ytre Holmebukt;SN91080;30.06.2005;0;-
Ytre Holmebukt;SN91080;01.07.2005;0;-
Ytre Holmebukt;SN91080;02.07.2005;0;-
Ytre Holmebukt;SN91080;03.07.2005;0;-
Ytre Holmebukt;SN91080;04.07.2005;0;-
Ytre Holmebukt;SN91080;05.07.2005;0;-
Ytre Holmebukt;SN91080;06.07.2005;0;-
Ytre Holmebukt;SN91080;07.07.2005;0;-
Ytre Holmebukt;SN91080;08.07.2005;0;-
Ytre Holmebukt;SN91080;09.07.2005;0;-
Ytre Holmebukt;SN91080;10.07.2005;0;-
Ytre Holmebukt;SN91080;11.07.2005;0,4;-
Ytre Holmebukt;SN91080;12.07.2005;0;-
Ytre Holmebukt;SN91080;13.07.2005;5,7;-
Ytre Holmebukt;SN91080;14.07.2005;7,3;-
Ytre Holmebukt;SN91080;15.07.2005;6,9;-
Ytre Holmebukt;SN91080;16.07.2005;2,4;-
Ytre Holmebukt;SN91080;17.07.2005;0,8;-
Ytre Holmebukt;SN91080;18.07.2005;0,2;-
Ytre Holmebukt;SN91080;19.07.2005;0;-
Ytre Holmebukt;SN91080;20.07.2005;0,1;-
Ytre Holmebukt;SN91080;21.07.2005;0;-
Ytre Holmebukt;SN91080;22.07.2005;0;-
Ytre Holmebukt;SN91080;23.07.2005;0;-
Ytre Holmebukt;SN91080;24.07.2005;0,6;-
Ytre Holmebukt;SN91080;25.07.2005;0;-
Ytre Holmebukt;SN91080;26.07.2005;0;-
Ytre Holmebukt;SN91080;27.07.2005;1,5;-
Ytre Holmebukt;SN91080;28.07.2005;16,3;-
Ytre Holmebukt;SN91080;29.07.2005;4,8;-
Ytre Holmebukt;SN91080;30.07.2005;0,3;-
Ytre Holmebukt;SN91080;31.07.2005;0,5;-
Ytre Holmebukt;SN91080;01.08.2005;0,7;-
Ytre Holmebukt;SN91080;02.08.2005;0,1;-
Ytre Holmebukt;SN91080;03.08.2005;0;-
Ytre Holmebukt;SN91080;04.08.2005;0;-
Ytre Holmebukt;SN91080;05.08.2005;3,5;-
Ytre Holmebukt;SN91080;06.08.2005;10,3;-
Ytre Holmebukt;SN91080;07.08.2005;3;-
Ytre Holmebukt;SN91080;08.08.2005;0;-
Ytre Holmebukt;SN91080;09.08.2005;0;-
Ytre Holmebukt;SN91080;10.08.2005;0,4;-
Ytre Holmebukt;SN91080;11.08.2005;0;-
Ytre Holmebukt;SN91080;12.08.2005;0;-
Ytre Holmebukt;SN91080;13.08.2005;10,4;-
Ytre Holmebukt;SN91080;14.08.2005;24,2;-
Ytre Holmebukt;SN91080;15.08.2005;1,1;-
Ytre Holmebukt;SN91080;16.08.2005;0;-
Ytre Holmebukt;SN91080;17.08.2005;0;-
Ytre Holmebukt;SN91080;18.08.2005;0,1;-
Ytre Holmebukt;SN91080;19.08.2005;2,9;-
Ytre Holmebukt;SN91080;20.08.2005;6,8;-
Ytre Holmebukt;SN91080;21.08.2005;0,3;-
Ytre Holmebukt;SN91080;22.08.2005;0,1;-
Ytre Holmebukt;SN91080;23.08.2005;1,6;-
Ytre Holmebukt;SN91080;24.08.2005;10,2;-
Ytre Holmebukt;SN91080;25.08.2005;5,6;-
Ytre Holmebukt;SN91080;26.08.2005;0;-
Ytre Holmebukt;SN91080;27.08.2005;36,9;-
Ytre Holmebukt;SN91080;28.08.2005;1;-
Ytre Holmebukt;SN91080;29.08.2005;2,2;-
Ytre Holmebukt;SN91080;30.08.2005;0,1;-
Ytre Holmebukt;SN91080;31.08.2005;7,2;-
Ytre Holmebukt;SN91080;01.09.2005;0,2;-
Ytre Holmebukt;SN91080;02.09.2005;0;-
Ytre Holmebukt;SN91080;03.09.2005;0,2;-
Ytre Holmebukt;SN91080;04.09.2005;3,8;-
Ytre Holmebukt;SN91080;05.09.2005;8,7;-
Ytre Holmebukt;SN91080;06.09.2005;4,8;-
Ytre Holmebukt;SN91080;07.09.2005;2,4;-
Ytre Holmebukt;SN91080;08.09.2005;0,2;-
Ytre Holmebukt;SN91080;09.09.2005;0,9;-
Ytre Holmebukt;SN91080;10.09.2005;3,4;-
Ytre Holmebukt;SN91080;11.09.2005;0,7;-
Ytre Holmebukt;SN91080;12.09.2005;3,4;-
Ytre Holmebukt;SN91080;13.09.2005;10,7;-
Ytre Holmebukt;SN91080;14.09.2005;6,8;-
Ytre Holmebukt;SN91080;15.09.2005;1,6;-
Ytre Holmebukt;SN91080;16.09.2005;4,7;-
Ytre Holmebukt;SN91080;17.09.2005;7,9;-
Ytre Holmebukt;SN91080;18.09.2005;3;-
Ytre Holmebukt;SN91080;19.09.2005;1,7;-
Ytre Holmebukt;SN91080;20.09.2005;0,2;-
Ytre Holmebukt;SN91080;21.09.2005;1,3;-
Ytre Holmebukt;SN91080;22.09.2005;0,3;-
Ytre Holmebukt;SN91080;23.09.2005;0,2;-
Ytre Holmebukt;SN91080;24.09.2005;0,1;-
Ytre Holmebukt;SN91080;25.09.2005;0,1;-
Ytre Holmebukt;SN91080;26.09.2005;0;-
Ytre Holmebukt;SN91080;27.09.2005;7,5;-
Ytre Holmebukt;SN91080;28.09.2005;0,4;-
Ytre Holmebukt;SN91080;29.09.2005;6,6;-
Ytre Holmebukt;SN91080;30.09.2005;0,1;-
Ytre Holmebukt;SN91080;01.10.2005;0,1;-
Ytre Holmebukt;SN91080;02.10.2005;0,3;-
Ytre Holmebukt;SN91080;03.10.2005;1,9;-
Ytre Holmebukt;SN91080;04.10.2005;20,1;-
Ytre Holmebukt;SN91080;05.10.2005;9,4;-
Ytre Holmebukt;SN91080;06.10.2005;20,8;-
Ytre Holmebukt;SN91080;07.10.2005;3,2;-
Ytre Holmebukt;SN91080;08.10.2005;0;-
Ytre Holmebukt;SN91080;09.10.2005;0;-
Ytre Holmebukt;SN91080;10.10.2005;6,7;-
Ytre Holmebukt;SN91080;11.10.2005;5,8;-
Ytre Holmebukt;SN91080;12.10.2005;11,8;-
Ytre Holmebukt;SN91080;13.10.2005;9,3;-
Ytre Holmebukt;SN91080;14.10.2005;13,5;-
Ytre Holmebukt;SN91080;15.10.2005;30,2;-
Ytre Holmebukt;SN91080;16.10.2005;0,1;-
Ytre Holmebukt;SN91080;17.10.2005;10,7;-
Ytre Holmebukt;SN91080;18.10.2005;1,8;-
Ytre Holmebukt;SN91080;19.10.2005;0,3;-
Ytre Holmebukt;SN91080;20.10.2005;5;-
Ytre Holmebukt;SN91080;21.10.2005;0,5;-
Ytre Holmebukt;SN91080;22.10.2005;7,2;15
Ytre Holmebukt;SN91080;23.10.2005;6,5;20
Ytre Holmebukt;SN91080;24.10.2005;0;15
Ytre Holmebukt;SN91080;25.10.2005;0;15
Ytre Holmebukt;SN91080;26.10.2005;0;15
Ytre Holmebukt;SN91080;27.10.2005;0;15
Ytre Holmebukt;SN91080;28.10.2005;0,2;14
Ytre Holmebukt;SN91080;29.10.2005;2,5;8
Ytre Holmebukt;SN91080;30.10.2005;4,7;-
Ytre Holmebukt;SN91080;31.10.2005;6;-
Ytre Holmebukt;SN91080;01.11.2005;3,6;-
Ytre Holmebukt;SN91080;02.11.2005;0,1;-
Ytre Holmebukt;SN91080;03.11.2005;1,6;-
Ytre Holmebukt;SN91080;04.11.2005;1,4;-
Ytre Holmebukt;SN91080;05.11.2005;5,6;-
Ytre Holmebukt;SN91080;06.11.2005;0,1;-
Ytre Holmebukt;SN91080;07.11.2005;0;-
Ytre Holmebukt;SN91080;08.11.2005;4,2;-
Ytre Holmebukt;SN91080;09.11.2005;0,1;-
Ytre Holmebukt;SN91080;10.11.2005;5,6;-
Ytre Holmebukt;SN91080;11.11.2005;0,9;-
Ytre Holmebukt;SN91080;12.11.2005;0,4;-
Ytre Holmebukt;SN91080;13.11.2005;1,5;-
Ytre Holmebukt;SN91080;14.11.2005;1,4;-
Ytre Holmebukt;SN91080;15.11.2005;0;-
Ytre Holmebukt;SN91080;16.11.2005;9,5;20
Ytre Holmebukt;SN91080;17.11.2005;3,7;24
Ytre Holmebukt;SN91080;18.11.2005;9,6;25
Ytre Holmebukt;SN91080;19.11.2005;7,3;21
Ytre Holmebukt;SN91080;20.11.2005;0,1;20
Ytre Holmebukt;SN91080;21.11.2005;0;20
Ytre Holmebukt;SN91080;22.11.2005;6;-
Ytre Holmebukt;SN91080;23.11.2005;19,1;-
Ytre Holmebukt;SN91080;24.11.2005;11,7;-
Ytre Holmebukt;SN91080;25.11.2005;0,1;-
Ytre Holmebukt;SN91080;26.11.2005;0;-
Ytre Holmebukt;SN91080;27.11.2005;0;-
Ytre Holmebukt;SN91080;28.11.2005;0,1;-
Ytre Holmebukt;SN91080;29.11.2005;0;-
Ytre Holmebukt;SN91080;30.11.2005;0,1;-
Ytre Holmebukt;SN91080;01.12.2005;3;5
Ytre Holmebukt;SN91080;02.12.2005;0,1;5
Ytre Holmebukt;SN91080;03.12.2005;0;0
Ytre Holmebukt;SN91080;04.12.2005;0,1;0
Ytre Holmebukt;SN91080;05.12.2005;0;0
Ytre Holmebukt;SN91080;06.12.2005;0;0
Ytre Holmebukt;SN91080;07.12.2005;0;0
Ytre Holmebukt;SN91080;08.12.2005;0;0
Ytre Holmebukt;SN91080;09.12.2005;0;0
Ytre Holmebukt;SN91080;10.12.2005;0;0
Ytre Holmebukt;SN91080;11.12.2005;0,1;5
Ytre Holmebukt;SN91080;12.12.2005;3,2;5
Ytre Holmebukt;SN91080;13.12.2005;6,1;10
Ytre Holmebukt;SN91080;14.12.2005;30,5;40
Ytre Holmebukt;SN91080;15.12.2005;5,6;45
Ytre Holmebukt;SN91080;16.12.2005;11,7;55
Ytre Holmebukt;SN91080;17.12.2005;0,1;55
Ytre Holmebukt;SN91080;18.12.2005;3,9;47
Ytre Holmebukt;SN91080;19.12.2005;0;45
Ytre Holmebukt;SN91080;20.12.2005;0;45
Ytre Holmebukt;SN91080;21.12.2005;0;42
Ytre Holmebukt;SN91080;22.12.2005;0;40
Ytre Holmebukt;SN91080;23.12.2005;1,7;34
Ytre Holmebukt;SN91080;24.12.2005;0;30
Ytre Holmebukt;SN91080;25.12.2005;0;30
Ytre Holmebukt;SN91080;26.12.2005;0;29
Ytre Holmebukt;SN91080;27.12.2005;0,1;29
Ytre Holmebukt;SN91080;28.12.2005;0;21
Ytre Holmebukt;SN91080;29.12.2005;0;20
Ytre Holmebukt;SN91080;30.12.2005;0;20
Ytre Holmebukt;SN91080;31.12.2005;0;20
Ytre Holmebukt;SN91080;01.01.2006;0;20
Ytre Holmebukt;SN91080;02.01.2006;0;20
Ytre Holmebukt;SN91080;03.01.2006;0;20
Ytre Holmebukt;SN91080;04.01.2006;0,1;20
Ytre Holmebukt;SN91080;05.01.2006;1,1;5
Ytre Holmebukt;SN91080;06.01.2006;0,5;-
Ytre Holmebukt;SN91080;07.01.2006;0,1;-
Ytre Holmebukt;SN91080;08.01.2006;0;-
