Navn;Stasjon;Tid(norsk normaltid);Nedbør (døgn)
Tromsø Plu;SN90451;13.08.2012;0
Tromsø Plu;SN90451;14.08.2012;0
Tromsø Plu;SN90451;15.08.2012;0,1
Tromsø Plu;SN90451;16.08.2012;0
Tromsø Plu;SN90451;17.08.2012;0
Tromsø Plu;SN90451;18.08.2012;0
Tromsø Plu;SN90451;19.08.2012;0
Tromsø Plu;SN90451;20.08.2012;0
Tromsø Plu;SN90451;21.08.2012;0,1
Tromsø Plu;SN90451;22.08.2012;0,1
Tromsø Plu;SN90451;23.08.2012;0,6
Tromsø Plu;SN90451;24.08.2012;0
Tromsø Plu;SN90451;25.08.2012;0
Tromsø Plu;SN90451;26.08.2012;3
Tromsø Plu;SN90451;27.08.2012;4,9
Tromsø Plu;SN90451;28.08.2012;1,2
Tromsø Plu;SN90451;29.08.2012;0,2
Tromsø Plu;SN90451;30.08.2012;0,2
Tromsø Plu;SN90451;31.08.2012;0,1
Tromsø Plu;SN90451;01.09.2012;7,8
Tromsø Plu;SN90451;02.09.2012;0
Tromsø Plu;SN90451;03.09.2012;3,5
Tromsø Plu;SN90451;04.09.2012;0,6
Tromsø Plu;SN90451;05.09.2012;1,8
Tromsø Plu;SN90451;06.09.2012;8
Tromsø Plu;SN90451;07.09.2012;6
Tromsø Plu;SN90451;08.09.2012;0,8
Tromsø Plu;SN90451;09.09.2012;9,7
Tromsø Plu;SN90451;10.09.2012;0,2
Tromsø Plu;SN90451;11.09.2012;0
Tromsø Plu;SN90451;12.09.2012;0
Tromsø Plu;SN90451;13.09.2012;12,8
Tromsø Plu;SN90451;14.09.2012;0
Tromsø Plu;SN90451;15.09.2012;1,2
Tromsø Plu;SN90451;16.09.2012;0,9
Tromsø Plu;SN90451;17.09.2012;2,1
Tromsø Plu;SN90451;18.09.2012;4,8
Tromsø Plu;SN90451;19.09.2012;16,2
Tromsø Plu;SN90451;20.09.2012;0
Tromsø Plu;SN90451;21.09.2012;7,5
Tromsø Plu;SN90451;22.09.2012;2,6
Tromsø Plu;SN90451;23.09.2012;1,6
Tromsø Plu;SN90451;24.09.2012;1,1
Tromsø Plu;SN90451;25.09.2012;0,1
Tromsø Plu;SN90451;26.09.2012;0
Tromsø Plu;SN90451;27.09.2012;0
Tromsø Plu;SN90451;28.09.2012;0
Tromsø Plu;SN90451;29.09.2012;0
Tromsø Plu;SN90451;30.09.2012;0
Tromsø Plu;SN90451;01.10.2012;1,4
Tromsø Plu;SN90451;02.10.2012;0
Tromsø Plu;SN90451;03.10.2012;0
Tromsø Plu;SN90451;04.10.2012;0,2
Tromsø Plu;SN90451;05.10.2012;1,5
Tromsø Plu;SN90451;06.10.2012;0,7
Tromsø Plu;SN90451;07.10.2012;0,2
Tromsø Plu;SN90451;08.10.2012;0
Tromsø Plu;SN90451;09.10.2012;0
Tromsø Plu;SN90451;10.10.2012;0
Tromsø Plu;SN90451;11.10.2012;3,3
Tromsø Plu;SN90451;12.10.2012;0,3
Tromsø Plu;SN90451;13.10.2012;0,2
Tromsø Plu;SN90451;14.10.2012;0,3
Tromsø Plu;SN90451;15.10.2012;0
Tromsø Plu;SN90451;16.10.2012;0
Tromsø Plu;SN90451;17.10.2012;0
Tromsø Plu;SN90451;18.10.2012;0
Tromsø Plu;SN90451;19.10.2012;0
Tromsø Plu;SN90451;20.10.2012;8,2
Tromsø Plu;SN90451;21.10.2012;5,3
Tromsø Plu;SN90451;22.10.2012;0,8
Tromsø Plu;SN90451;23.10.2012;0,2
Tromsø Plu;SN90451;24.10.2012;7,8
Tromsø Plu;SN90451;25.10.2012;7,8
Tromsø Plu;SN90451;27.10.2012;15,7
Tromsø Plu;SN90451;28.10.2012;10,3
Tromsø Plu;SN90451;29.10.2012;0
Tromsø Plu;SN90451;30.10.2012;0
Tromsø Plu;SN90451;01.11.2012;0
Tromsø Plu;SN90451;02.11.2012;0
Tromsø Plu;SN90451;03.11.2012;0
Tromsø Plu;SN90451;04.11.2012;0
Tromsø Plu;SN90451;05.11.2012;12,2
Tromsø Plu;SN90451;06.11.2012;4,8
Tromsø Plu;SN90451;07.11.2012;0
Tromsø Plu;SN90451;08.11.2012;8,6
Tromsø Plu;SN90451;09.11.2012;4,9
Tromsø Plu;SN90451;10.11.2012;0,1
Tromsø Plu;SN90451;11.11.2012;0,5
Tromsø Plu;SN90451;13.11.2012;5,4
Tromsø Plu;SN90451;14.11.2012;0
Tromsø Plu;SN90451;15.11.2012;6,8
Tromsø Plu;SN90451;16.11.2012;1,9
Tromsø Plu;SN90451;17.11.2012;2,6
Tromsø Plu;SN90451;18.11.2012;0
Tromsø Plu;SN90451;19.11.2012;8,4
Tromsø Plu;SN90451;20.11.2012;2,3
Tromsø Plu;SN90451;21.11.2012;0
Tromsø Plu;SN90451;22.11.2012;3,6
Tromsø Plu;SN90451;23.11.2012;0
Tromsø Plu;SN90451;24.11.2012;0
Tromsø Plu;SN90451;25.11.2012;0
Tromsø Plu;SN90451;26.11.2012;0
Tromsø Plu;SN90451;27.11.2012;0
Tromsø Plu;SN90451;28.11.2012;0
Tromsø Plu;SN90451;29.11.2012;0
Tromsø Plu;SN90451;30.11.2012;0
