Navn;Stasjon;Tid(norsk normaltid);Nedbør (døgn);Snødybde
Ullsfjord;SN91100;05.11.1957;0;0
Ullsfjord;SN91100;06.11.1957;0,5;0
Ullsfjord;SN91100;07.11.1957;0,7;0
Ullsfjord;SN91100;08.11.1957;0;0
Ullsfjord;SN91100;09.11.1957;0;0
Ullsfjord;SN91100;10.11.1957;3,1;0
Ullsfjord;SN91100;11.11.1957;0,3;0
Ullsfjord;SN91100;12.11.1957;5,8;0
Ullsfjord;SN91100;13.11.1957;7,9;0
Ullsfjord;SN91100;14.11.1957;17,9;0
Ullsfjord;SN91100;15.11.1957;16,8;0
Ullsfjord;SN91100;16.11.1957;15,5;8
Ullsfjord;SN91100;17.11.1957;2,1;10
Ullsfjord;SN91100;18.11.1957;0;5
Ullsfjord;SN91100;19.11.1957;0;5
Ullsfjord;SN91100;20.11.1957;4,3;0
Ullsfjord;SN91100;21.11.1957;7,4;0
Ullsfjord;SN91100;22.11.1957;0;0
Ullsfjord;SN91100;23.11.1957;8,1;5
Ullsfjord;SN91100;24.11.1957;7,4;16
Ullsfjord;SN91100;25.11.1957;4,8;18
Ullsfjord;SN91100;26.11.1957;2;12
Ullsfjord;SN91100;27.11.1957;0;12
Ullsfjord;SN91100;28.11.1957;0;12
Ullsfjord;SN91100;29.11.1957;0,2;11
Ullsfjord;SN91100;30.11.1957;0,2;10
Ullsfjord;SN91100;01.12.1957;1,7;9
Ullsfjord;SN91100;02.12.1957;10,5;5
Ullsfjord;SN91100;03.12.1957;4,2;6
Ullsfjord;SN91100;04.12.1957;16,2;9
Ullsfjord;SN91100;05.12.1957;1,7;10
Ullsfjord;SN91100;06.12.1957;0;10
Ullsfjord;SN91100;07.12.1957;0;10
Ullsfjord;SN91100;08.12.1957;0;10
Ullsfjord;SN91100;09.12.1957;0;10
Ullsfjord;SN91100;10.12.1957;0;10
Ullsfjord;SN91100;11.12.1957;7,6;17
Ullsfjord;SN91100;12.12.1957;2,1;19
Ullsfjord;SN91100;13.12.1957;1,5;20
Ullsfjord;SN91100;14.12.1957;3,9;22
Ullsfjord;SN91100;15.12.1957;1,1;20
Ullsfjord;SN91100;16.12.1957;6,2;14
Ullsfjord;SN91100;17.12.1957;17,9;30
Ullsfjord;SN91100;18.12.1957;18,5;40
Ullsfjord;SN91100;19.12.1957;0,3;39
Ullsfjord;SN91100;20.12.1957;0,1;30
Ullsfjord;SN91100;21.12.1957;7,8;35
Ullsfjord;SN91100;22.12.1957;1,9;38
Ullsfjord;SN91100;23.12.1957;2,9;40
Ullsfjord;SN91100;24.12.1957;1,4;39
Ullsfjord;SN91100;25.12.1957;0;38
Ullsfjord;SN91100;26.12.1957;0;36
Ullsfjord;SN91100;27.12.1957;0;34
Ullsfjord;SN91100;28.12.1957;0,1;34
Ullsfjord;SN91100;29.12.1957;0;33
Ullsfjord;SN91100;30.12.1957;0;30
Ullsfjord;SN91100;31.12.1957;0;30
Ullsfjord;SN91100;01.01.1958;0;30
Ullsfjord;SN91100;02.01.1958;0,9;30
Ullsfjord;SN91100;03.01.1958;0;30
Ullsfjord;SN91100;04.01.1958;0;30
Ullsfjord;SN91100;05.01.1958;0;30
Ullsfjord;SN91100;06.01.1958;0;29
Ullsfjord;SN91100;07.01.1958;0;29
Ullsfjord;SN91100;08.01.1958;0;29
Ullsfjord;SN91100;09.01.1958;0;29
Ullsfjord;SN91100;10.01.1958;0;29
Ullsfjord;SN91100;11.01.1958;0;29
Ullsfjord;SN91100;12.01.1958;0;29
Ullsfjord;SN91100;13.01.1958;0;29
Ullsfjord;SN91100;14.01.1958;0;28
Ullsfjord;SN91100;15.01.1958;3,6;26
Ullsfjord;SN91100;16.01.1958;3,2;29
Ullsfjord;SN91100;17.01.1958;18,7;46
Ullsfjord;SN91100;18.01.1958;27,1;63
Ullsfjord;SN91100;19.01.1958;10,1;70
Ullsfjord;SN91100;20.01.1958;0,1;68
Ullsfjord;SN91100;21.01.1958;0;67
Ullsfjord;SN91100;22.01.1958;0;64
Ullsfjord;SN91100;23.01.1958;0;62
Ullsfjord;SN91100;24.01.1958;0;60
Ullsfjord;SN91100;25.01.1958;0;59
Ullsfjord;SN91100;26.01.1958;7,1;66
Ullsfjord;SN91100;27.01.1958;10,8;78
Ullsfjord;SN91100;28.01.1958;0;76
Ullsfjord;SN91100;29.01.1958;0;73
Ullsfjord;SN91100;30.01.1958;4,3;71
Ullsfjord;SN91100;31.01.1958;4,2;50
Ullsfjord;SN91100;01.02.1958;8,9;45
Ullsfjord;SN91100;02.02.1958;4,1;40
Ullsfjord;SN91100;03.02.1958;0,5;39
Ullsfjord;SN91100;04.02.1958;2,8;41
Ullsfjord;SN91100;05.02.1958;0;40
Ullsfjord;SN91100;06.02.1958;0;39
