Navn;Stasjon;Tid(norsk normaltid);Nedbør (døgn);Snødybde
Lyfjord;SN90570;03.01.1980;2,9;10
Lyfjord;SN90570;04.01.1980;0;10
Lyfjord;SN90570;05.01.1980;0;10
Lyfjord;SN90570;06.01.1980;0;10
Lyfjord;SN90570;07.01.1980;0,6;10
Lyfjord;SN90570;08.01.1980;2;10
Lyfjord;SN90570;09.01.1980;0;9
Lyfjord;SN90570;10.01.1980;0;9
Lyfjord;SN90570;11.01.1980;0;9
Lyfjord;SN90570;12.01.1980;0;10
Lyfjord;SN90570;13.01.1980;15,4;9
Lyfjord;SN90570;14.01.1980;1,3;9
Lyfjord;SN90570;15.01.1980;6;12
Lyfjord;SN90570;16.01.1980;4;15
Lyfjord;SN90570;17.01.1980;8,4;17
Lyfjord;SN90570;18.01.1980;5,6;18
Lyfjord;SN90570;19.01.1980;4,5;17
Lyfjord;SN90570;20.01.1980;0;17
Lyfjord;SN90570;21.01.1980;0;17
Lyfjord;SN90570;22.01.1980;0;17
Lyfjord;SN90570;23.01.1980;0;17
Lyfjord;SN90570;24.01.1980;0;17
Lyfjord;SN90570;25.01.1980;0;17
Lyfjord;SN90570;26.01.1980;9,6;28
Lyfjord;SN90570;27.01.1980;4;29
Lyfjord;SN90570;28.01.1980;9,4;33
Lyfjord;SN90570;29.01.1980;7;35
Lyfjord;SN90570;30.01.1980;3;38
Lyfjord;SN90570;31.01.1980;2,4;40
Lyfjord;SN90570;01.02.1980;4,5;47
Lyfjord;SN90570;02.02.1980;0;47
Lyfjord;SN90570;03.02.1980;0;47
Lyfjord;SN90570;04.02.1980;0;47
Lyfjord;SN90570;05.02.1980;0,7;47
Lyfjord;SN90570;06.02.1980;6,1;53
Lyfjord;SN90570;07.02.1980;0;53
Lyfjord;SN90570;08.02.1980;0;53
Lyfjord;SN90570;09.02.1980;0;53
Lyfjord;SN90570;10.02.1980;0;52
Lyfjord;SN90570;11.02.1980;0;51
Lyfjord;SN90570;12.02.1980;0;50
Lyfjord;SN90570;13.02.1980;0;50
Lyfjord;SN90570;14.02.1980;0,2;52
Lyfjord;SN90570;15.02.1980;0;52
Lyfjord;SN90570;16.02.1980;0;51
Lyfjord;SN90570;17.02.1980;2,4;51
Lyfjord;SN90570;18.02.1980;0,2;49
Lyfjord;SN90570;19.02.1980;1,9;27
Lyfjord;SN90570;20.02.1980;0,5;20
Lyfjord;SN90570;21.02.1980;0;15
Lyfjord;SN90570;22.02.1980;0;13
Lyfjord;SN90570;23.02.1980;0,9;10
Lyfjord;SN90570;24.02.1980;1,5;5
Lyfjord;SN90570;25.02.1980;0;0
Lyfjord;SN90570;26.02.1980;0;0
Lyfjord;SN90570;27.02.1980;5,2;2
Lyfjord;SN90570;28.02.1980;7,5;3
Lyfjord;SN90570;29.02.1980;4,6;4
Lyfjord;SN90570;01.03.1980;5,8;10
Lyfjord;SN90570;02.03.1980;0,1;10
Lyfjord;SN90570;03.03.1980;1,9;11
Lyfjord;SN90570;04.03.1980;0,6;11
Lyfjord;SN90570;05.03.1980;0;0
Lyfjord;SN90570;06.03.1980;2,4;14
Lyfjord;SN90570;07.03.1980;3,1;9
Lyfjord;SN90570;08.03.1980;0;9
Lyfjord;SN90570;09.03.1980;0;9
Lyfjord;SN90570;10.03.1980;0;9
Lyfjord;SN90570;11.03.1980;0;8
Lyfjord;SN90570;12.03.1980;0;8
Lyfjord;SN90570;13.03.1980;0;8
Lyfjord;SN90570;14.03.1980;0;8
Lyfjord;SN90570;15.03.1980;0;7
Lyfjord;SN90570;16.03.1980;0;7
Lyfjord;SN90570;17.03.1980;0;7
Lyfjord;SN90570;18.03.1980;0;7
Lyfjord;SN90570;19.03.1980;2,4;10
Lyfjord;SN90570;20.03.1980;0;7
Lyfjord;SN90570;21.03.1980;0;7
Lyfjord;SN90570;22.03.1980;2,9;10
Lyfjord;SN90570;23.03.1980;0;10
Lyfjord;SN90570;24.03.1980;0;10
Lyfjord;SN90570;25.03.1980;8,3;26
Lyfjord;SN90570;26.03.1980;0;26
Lyfjord;SN90570;27.03.1980;0;26
Lyfjord;SN90570;28.03.1980;0;26
Lyfjord;SN90570;29.03.1980;0;26
Lyfjord;SN90570;30.03.1980;0;25
Lyfjord;SN90570;31.03.1980;0;22
Lyfjord;SN90570;01.04.1980;0;20
Lyfjord;SN90570;02.04.1980;0;17
Lyfjord;SN90570;03.04.1980;0;10
Lyfjord;SN90570;04.04.1980;0;6
Lyfjord;SN90570;05.04.1980;0;6
Lyfjord;SN90570;06.04.1980;6,5;0
Lyfjord;SN90570;07.04.1980;10;0
Lyfjord;SN90570;08.04.1980;3;5
Lyfjord;SN90570;09.04.1980;0,3;5
Lyfjord;SN90570;10.04.1980;0;4
Lyfjord;SN90570;11.04.1980;0;3
Lyfjord;SN90570;12.04.1980;1,2;3
Lyfjord;SN90570;13.04.1980;5,8;3
Lyfjord;SN90570;14.04.1980;0;2
Lyfjord;SN90570;15.04.1980;3,1;0
Lyfjord;SN90570;16.04.1980;0;0
Lyfjord;SN90570;17.04.1980;1;0
Lyfjord;SN90570;18.04.1980;0;0
Lyfjord;SN90570;19.04.1980;0;0
Lyfjord;SN90570;20.04.1980;0;0
Lyfjord;SN90570;21.04.1980;4,3;0
Lyfjord;SN90570;22.04.1980;7,4;0
Lyfjord;SN90570;23.04.1980;0,1;0
