Navn;Stasjon;Tid(norsk normaltid);Nedbør (døgn);Snødybde
Kvalsund - Simavik;SN90610;21.12.1976;1,5;21
Kvalsund - Simavik;SN90610;22.12.1976;2,9;20
Kvalsund - Simavik;SN90610;23.12.1976;4,6;24
Kvalsund - Simavik;SN90610;24.12.1976;19,3;36
Kvalsund - Simavik;SN90610;25.12.1976;1,2;30
Kvalsund - Simavik;SN90610;26.12.1976;6,7;36
Kvalsund - Simavik;SN90610;27.12.1976;10;41
Kvalsund - Simavik;SN90610;28.12.1976;5;48
Kvalsund - Simavik;SN90610;29.12.1976;1;48
Kvalsund - Simavik;SN90610;30.12.1976;3,6;49
Kvalsund - Simavik;SN90610;31.12.1976;0;48
Kvalsund - Simavik;SN90610;01.01.1977;0;48
Kvalsund - Simavik;SN90610;02.01.1977;0,4;47
Kvalsund - Simavik;SN90610;03.01.1977;0;46
Kvalsund - Simavik;SN90610;04.01.1977;0;37
Kvalsund - Simavik;SN90610;05.01.1977;6,7;29
Kvalsund - Simavik;SN90610;06.01.1977;5;24
Kvalsund - Simavik;SN90610;07.01.1977;4,8;28
Kvalsund - Simavik;SN90610;08.01.1977;6,6;33
Kvalsund - Simavik;SN90610;09.01.1977;5,6;40
Kvalsund - Simavik;SN90610;10.01.1977;14,8;56
Kvalsund - Simavik;SN90610;11.01.1977;3,5;65
Kvalsund - Simavik;SN90610;12.01.1977;0,5;65
Kvalsund - Simavik;SN90610;13.01.1977;0;65
Kvalsund - Simavik;SN90610;14.01.1977;0;65
Kvalsund - Simavik;SN90610;15.01.1977;0;64
Kvalsund - Simavik;SN90610;16.01.1977;0,2;59
Kvalsund - Simavik;SN90610;17.01.1977;0;58
Kvalsund - Simavik;SN90610;18.01.1977;0;58
Kvalsund - Simavik;SN90610;19.01.1977;0;58
Kvalsund - Simavik;SN90610;20.01.1977;0,1;57
Kvalsund - Simavik;SN90610;21.01.1977;0,8;57
Kvalsund - Simavik;SN90610;22.01.1977;0,7;57
Kvalsund - Simavik;SN90610;23.01.1977;0;57
Kvalsund - Simavik;SN90610;24.01.1977;0;57
Kvalsund - Simavik;SN90610;25.01.1977;0;57
Kvalsund - Simavik;SN90610;26.01.1977;0;57
Kvalsund - Simavik;SN90610;27.01.1977;0,4;57
Kvalsund - Simavik;SN90610;28.01.1977;0;57
Kvalsund - Simavik;SN90610;29.01.1977;0;57
Kvalsund - Simavik;SN90610;30.01.1977;0,6;58
Kvalsund - Simavik;SN90610;31.01.1977;3,4;68
Kvalsund - Simavik;SN90610;01.02.1977;0;67
Kvalsund - Simavik;SN90610;02.02.1977;0;67
